D,Language,"_raw","_time",action,app,author,c,checkemail,clientip,d,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",dir,"doing_wp_cron",eventtype,host,index,linecount,load,p,pagenow,plugin,"plugin_search_input",protocol,punct,reauth,"redirect_to",s,"settings_updated",source,sourcetype,"splunk_server","splunk_server_group",step,submit,tab,tag,"tag::eventtype",test,theme,timeendpos,timestartpos,username,ver,widget,wpnonce
,,"96.55.197.75 - - [24/May/2014:23:53:42 -0700] ""GET /wp-includes/js/thickbox/loadingAnimation.gif HTTP/1.1"" 304 -","2014-05-24T23:53:42.000-0700",,,,,,"96.55.197.75",,23,24,53,may,42,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/-///._/.""__-",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,,,
,,"96.55.197.75 - - [24/May/2014:23:53:42 -0700] ""GET /wp-includes/images/admin-bar-sprite.png?d=20111130 HTTP/1.1"" 304 -","2014-05-24T23:53:42.000-0700",,,,,,"96.55.197.75",20111130,23,24,53,may,42,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/-//--.?=_/.""__-",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,,,
,,"96.55.197.75 - - [24/May/2014:23:53:42 -0700] ""GET /wp-admin/images/wp-badge.png?ver=20111120 HTTP/1.1"" 304 -","2014-05-24T23:53:42.000-0700",,,,,,"96.55.197.75",,23,24,53,may,42,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/-//-.?=_/.""__-",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,20111120,,
,,"96.55.197.75 - - [24/May/2014:23:53:42 -0700] ""GET /wp-admin/images/xit.gif HTTP/1.1"" 304 -","2014-05-24T23:53:42.000-0700",,,,,,"96.55.197.75",,23,24,53,may,42,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/-//._/.""__-",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,,,
,,"96.55.197.75 - - [24/May/2014:23:53:42 -0700] ""GET /wp-admin/images/icons32.png?ver=20111206 HTTP/1.1"" 304 -","2014-05-24T23:53:42.000-0700",,,,,,"96.55.197.75",,23,24,53,may,42,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/-//.?=_/.""__-",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,20111206,,
,,"96.55.197.75 - - [24/May/2014:23:53:42 -0700] ""GET /wp-admin/images/arrows.png HTTP/1.1"" 304 -","2014-05-24T23:53:42.000-0700",,,,,,"96.55.197.75",,23,24,53,may,42,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/-//._/.""__-",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,,,
,,"96.55.197.75 - - [24/May/2014:23:53:42 -0700] ""GET /wp-admin/images/menu-shadow.png HTTP/1.1"" 304 -","2014-05-24T23:53:42.000-0700",,,,,,"96.55.197.75",,23,24,53,may,42,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/-//-._/.""__-",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,,,
,,"96.55.197.75 - - [24/May/2014:23:53:42 -0700] ""GET /wp-admin/images/menu.png?ver=20111128 HTTP/1.1"" 304 -","2014-05-24T23:53:42.000-0700",,,,,,"96.55.197.75",,23,24,53,may,42,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/-//.?=_/.""__-",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,20111128,,
,,"96.55.197.75 - - [24/May/2014:23:53:42 -0700] ""GET /wp-admin/load-scripts.php?c=0&load=admin-bar,hoverIntent,common,jquery-color,wp-ajax-response,wp-lists,quicktags,jquery-query,admin-comments,jquery-ui-core,jquery-ui-widget,jquery-ui-mouse,jquery-ui-sortable,postbox,dashboard,plugin-install,word-count,jquery-ui-resizable,jquery-ui-draggable,jquery-ui-button,jquery-ui-position,jquery-ui-dialog,wpdialogs,wplink,wpdialogs-popup&ver=0e7671c69608eb8dfed90256d2c3330e HTTP/1.1"" 200 46537","2014-05-24T23:53:42.000-0700",,,,0,,"96.55.197.75",,23,24,53,may,42,saturday,2014,"-420",,,,Network2HP,main,1,"admin-bar",,,,,,"..._-_-_[//:::_-]_""_/-/-.?=&=-,,,-,--,-,,-,-,--,--",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,0e7671c69608eb8dfed90256d2c3330e,,
,,"96.55.197.75 - - [24/May/2014:23:53:42 -0700] ""GET /wp-admin/load-styles.php?c=0&dir=ltr&load=admin-bar,wp-admin&ver=7f0753feec257518ac1fec83d5bced6a HTTP/1.1"" 200 23185","2014-05-24T23:53:42.000-0700",,,,0,,"96.55.197.75",,23,24,53,may,42,saturday,2014,"-420",ltr,,,Network2HP,main,1,"admin-bar",,,,,,"..._-_-_[//:::_-]_""_/-/-.?=&=&=-,-&=_/.""__",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,7f0753feec257518ac1fec83d5bced6a,,
