"_raw","_time",app,bytes,clientip,cookie,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",eventtype,file,host,ident,index,linecount,method,other,protocol,punct,referer,"referer_domain","req_time",root,source,sourcetype,"splunk_server","splunk_server_group",status,tag,"tag::eventtype",timeendpos,timestartpos,uri,"uri_domain","uri_path","uri_query",user,useragent,version
"193.239.186.86 - - [17/Jun/2014:23:49:54 -0700] ""GET /user/soapCaller.bs HTTP/1.1"" 404 293 ""-"" ""Morfeus Fucking Scanner""","2014-06-17T23:49:54.000-0700",,,"193.239.186.86",,23,17,49,june,54,tuesday,2014,"-420",,,Network1HP,,main,1,,,,"..._-_-_[//:::_-]_""_//._/.""___""-""_""__""",,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140618","access_log-too_small",RazLT,,,,,46,20,,,,,,,
"65.207.23.201 - - [16/Jun/2014:07:28:21 -0700] ""GET /user/soapCaller.bs HTTP/1.1"" 404 293 ""-"" ""Morfeus Fucking Scanner""","2014-06-16T07:28:21.000-0700",,,"65.207.23.201",,7,16,28,june,21,monday,2014,"-420",,,Network1HP,,main,1,,,,"..._-_-_[//:::_-]_""_//._/.""___""-""_""__""",,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140617","access_log-too_small",RazLT,,,,,45,19,,,,,,,
"76.164.197.92 - - [14/Jun/2014:03:36:32 -0700] ""GET /user/soapCaller.bs HTTP/1.1"" 404 293 ""-"" ""Morfeus Fucking Scanner""","2014-06-14T03:36:32.000-0700",,,"76.164.197.92",,3,14,36,june,32,saturday,2014,"-420",,,Network1HP,,main,1,,,,"..._-_-_[//:::_-]_""_//._/.""___""-""_""__""",,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140614","access_log-too_small",RazLT,,,,,45,19,,,,,,,
"76.164.195.122 - - [12/Jun/2014:16:21:10 -0700] ""GET /user/soapCaller.bs HTTP/1.1"" 404 293 ""-"" ""Morfeus Fucking Scanner""","2014-06-12T16:21:10.000-0700",,293,"76.164.195.122",,16,12,21,june,10,thursday,2014,"-420",,"soapCaller.bs",Network1HP,"-",main,1,GET,,,"..._-_-_[//:::_-]_""_//._/.""___""-""_""__""","-",,"12/Jun/2014:16:21:10 -0700",user,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140613","access_combined",RazLT,,404,,,46,20,"/user/soapCaller.bs",,"/user/soapCaller.bs",,"-","Morfeus Fucking Scanner","HTTP/1.1"
"211.115.199.210 - - [08/Jun/2014:11:43:51 -0700] ""GET /user/soapCaller.bs HTTP/1.1"" 404 293 ""-"" ""Morfeus Fucking Scanner""","2014-06-08T11:43:51.000-0700",,,"211.115.199.210",,11,8,43,june,51,sunday,2014,"-420",,,Network1HP,,main,1,,,,"..._-_-_[//:::_-]_""_//._/.""___""-""_""__""",,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140609","access_log-too_small",RazLT,,,,,47,21,,,,,,,
"108.166.175.150 - - [06/Jun/2014:02:28:54 -0700] ""GET /user/soapCaller.bs HTTP/1.1"" 404 293 ""-"" ""Morfeus Fucking Scanner""","2014-06-06T02:28:54.000-0700",,,"108.166.175.150",,2,6,28,june,54,friday,2014,"-420",,,Network1HP,,main,1,,,,"..._-_-_[//:::_-]_""_//._/.""___""-""_""__""",,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140606","access_log-too_small",RazLT,,,,,47,21,,,,,,,
"198.154.106.27 - - [04/Jun/2014:08:18:53 -0700] ""GET /user/soapCaller.bs HTTP/1.1"" 404 293 ""-"" ""Morfeus Fucking Scanner""","2014-06-04T08:18:53.000-0700",,,"198.154.106.27",,8,4,18,june,53,wednesday,2014,"-420",,,Network1HP,,main,1,,,,"..._-_-_[//:::_-]_""_//._/.""___""-""_""__""",,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140605","access_log-too_small",RazLT,,,,,46,20,,,,,,,
