City,Country,Region,"_raw","_time",accnt,acct,addr,app,auid,bytes,cipher,clientip,cookie,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",direction,euid,eventtype,exe,file,fp,host,hostname,id,ident,index,kind,ksize,laddr,lat,linecount,lon,lport,mac,method,msg,name,op,other,pid,process,protocol,punct,referer,"referer_domain","req_time",res,rhost,root,rport,ses,source,sourcetype,spid,"splunk_server","splunk_server_group",srcaddr,status,suid,tag,"tag::eventtype",terminal,timeendpos,timestartpos,tty,type,uid,uri,"uri_domain","uri_path","uri_query",user,useragent,version
Ottawa,Canada,Ontario,"198.103.167.20 - - [23/Jun/2014:03:26:10 -0700] ""GET /blog/wp-content/uploads/2014/06/hippiebus-380x270.jpg HTTP/1.1"" 304 - ""-"" ""Mozilla/4.0 (compatible;)""","2014-06-23T03:26:10.000-0700",,,,,,"-",,"198.103.167.20",,3,23,26,june,10,monday,2014,"-420",,,,,"hippiebus-380x270.jpg",,Network3HP,,,"-",main,,,,"45.41670",1,"-75.70000",,,GET,,,,,,,,"..._-_-_[//:::_-]_""_//-////-._/.""__-_""-""_""/._(;)""","-",,"23/Jun/2014:03:26:10 -0700",,,blog,,,"access_log_all","access_combined",,RazLT,,"198.103.167.20",304,,,,,46,20,,,,"/blog/wp-content/uploads/2014/06/hippiebus-380x270.jpg",,"/blog/wp-content/uploads/2014/06/hippiebus-380x270.jpg",,"-","Mozilla/4.0 (compatible;)","HTTP/1.1"
Vancouver,Canada,"British Columbia","66.183.97.3 - - [23/Jun/2014:02:55:42 -0700] ""GET /blog/wp-content/uploads/2014/06/cropped-HippieChurch01.jpg HTTP/1.1"" 304 - ""http://hippielife.ca/blog/"" ""Mozilla/5.0 (Linux; U; Android 4.0.4; en-ca; GT-S7560M Build/IMM76I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30""","2014-06-23T02:55:42.000-0700",,,,,,"-",,"66.183.97.3",,2,23,55,june,42,monday,2014,"-420",,,,,"cropped-HippieChurch01.jpg",,Network3HP,,,"-",main,,,,"49.26580",1,"-123.11510",,,GET,,,,,,,,"..._-_-_[//:::_-]_""_//-////-._/.""__-_""://.//""_""/._","http://hippielife.ca/blog/","http://hippielife.ca","23/Jun/2014:02:55:42 -0700",,,blog,,,"access_log_all","access_combined",,RazLT,,"66.183.97.3",304,,,,,43,17,,,,"/blog/wp-content/uploads/2014/06/cropped-HippieChurch01.jpg",,"/blog/wp-content/uploads/2014/06/cropped-HippieChurch01.jpg",,"-","Mozilla/5.0 (Linux; U; Android 4.0.4; en-ca; GT-S7560M Build/IMM76I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30","HTTP/1.1"
Vancouver,Canada,"British Columbia","66.183.97.3 - - [23/Jun/2014:02:55:42 -0700] ""GET /blog/wp-content/themes/twentythirteen/js/functions.js?ver=2014-03-18 HTTP/1.1"" 304 - ""http://hippielife.ca/blog/"" ""Mozilla/5.0 (Linux; U; Android 4.0.4; en-ca; GT-S7560M Build/IMM76I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30""","2014-06-23T02:55:42.000-0700",,,,,,"-",,"66.183.97.3",,2,23,55,june,42,monday,2014,"-420",,,,,"functions.js",,Network3HP,,,"-",main,,,,"49.26580",1,"-123.11510",,,GET,,,,,,,,"..._-_-_[//:::_-]_""_//-////.?=--_/.""__-_""://.//""_""","http://hippielife.ca/blog/","http://hippielife.ca","23/Jun/2014:02:55:42 -0700",,,blog,,,"access_log_all","access_combined",,RazLT,,"66.183.97.3",304,,,,,43,17,,,,"/blog/wp-content/themes/twentythirteen/js/functions.js?ver=2014-03-18",,"/blog/wp-content/themes/twentythirteen/js/functions.js","ver=2014-03-18","-","Mozilla/5.0 (Linux; U; Android 4.0.4; en-ca; GT-S7560M Build/IMM76I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30","HTTP/1.1"
Vancouver,Canada,"British Columbia","66.183.97.3 - - [23/Jun/2014:02:55:39 -0700] ""GET /blog/ HTTP/1.1"" 200 9189 ""http://hippielife.ca/"" ""Mozilla/5.0 (Linux; U; Android 4.0.4; en-ca; GT-S7560M Build/IMM76I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30""","2014-06-23T02:55:39.000-0700",,,,,,9189,,"66.183.97.3",,2,23,55,june,39,monday,2014,"-420",,,,,,,Network3HP,,,"-",main,,,,"49.26580",1,"-123.11510",,,GET,,,,,,,,"..._-_-_[//:::_-]_""_//_/.""___""://./""_""/._(;_;__..;","http://hippielife.ca/","http://hippielife.ca","23/Jun/2014:02:55:39 -0700",,,blog,,,"access_log_all","access_combined",,RazLT,,"66.183.97.3",200,,,,,43,17,,,,"/blog/",,"/blog/",,"-","Mozilla/5.0 (Linux; U; Android 4.0.4; en-ca; GT-S7560M Build/IMM76I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30","HTTP/1.1"
Ottawa,Canada,Ontario,"198.103.167.20 - - [22/Jun/2014:21:25:11 -0700] ""GET /blog/wp-content/uploads/2014/06/JanisJoplinText.jpg HTTP/1.1"" 304 - ""-"" ""Mozilla/4.0 (compatible;)""","2014-06-22T21:25:11.000-0700",,,,,,"-",,"198.103.167.20",,21,22,25,june,11,sunday,2014,"-420",,,,,"JanisJoplinText.jpg",,Network3HP,,,"-",main,,,,"45.41670",1,"-75.70000",,,GET,,,,,,,,"..._-_-_[//:::_-]_""_//-////._/.""__-_""-""_""/._(;)""","-",,"22/Jun/2014:21:25:11 -0700",,,blog,,,"access_log_all","access_combined",,RazLT,,"198.103.167.20",304,,,,,46,20,,,,"/blog/wp-content/uploads/2014/06/JanisJoplinText.jpg",,"/blog/wp-content/uploads/2014/06/JanisJoplinText.jpg",,"-","Mozilla/4.0 (compatible;)","HTTP/1.1"
Ottawa,Canada,Ontario,"198.103.167.20 - - [22/Jun/2014:19:43:41 -0700] ""GET /blog/wp-content/uploads/2014/06/Bong-282x270.jpg HTTP/1.1"" 304 - ""-"" ""Mozilla/4.0 (compatible;)""","2014-06-22T19:43:41.000-0700",,,,,,"-",,"198.103.167.20",,19,22,43,june,41,sunday,2014,"-420",,,,,"Bong-282x270.jpg",,Network3HP,,,"-",main,,,,"45.41670",1,"-75.70000",,,GET,,,,,,,,"..._-_-_[//:::_-]_""_//-////-._/.""__-_""-""_""/._(;)""","-",,"22/Jun/2014:19:43:41 -0700",,,blog,,,"access_log_all","access_combined",,RazLT,,"198.103.167.20",304,,,,,46,20,,,,"/blog/wp-content/uploads/2014/06/Bong-282x270.jpg",,"/blog/wp-content/uploads/2014/06/Bong-282x270.jpg",,"-","Mozilla/4.0 (compatible;)","HTTP/1.1"
Ottawa,Canada,Ontario,"198.103.167.20 - - [22/Jun/2014:18:45:43 -0700] ""GET /blog/wp-content/uploads/2014/06/MamasPapas-300x244.jpg HTTP/1.1"" 304 - ""-"" ""Mozilla/4.0 (compatible;)""","2014-06-22T18:45:43.000-0700",,,,,,"-",,"198.103.167.20",,18,22,45,june,43,sunday,2014,"-420",,,,,"MamasPapas-300x244.jpg",,Network3HP,,,"-",main,,,,"45.41670",1,"-75.70000",,,GET,,,,,,,,"..._-_-_[//:::_-]_""_//-////-._/.""__-_""-""_""/._(;)""","-",,"22/Jun/2014:18:45:43 -0700",,,blog,,,"access_log_all","access_combined",,RazLT,,"198.103.167.20",304,,,,,46,20,,,,"/blog/wp-content/uploads/2014/06/MamasPapas-300x244.jpg",,"/blog/wp-content/uploads/2014/06/MamasPapas-300x244.jpg",,"-","Mozilla/4.0 (compatible;)","HTTP/1.1"
Ottawa,Canada,Ontario,"198.103.167.20 - - [22/Jun/2014:18:32:00 -0700] ""GET /blog/wp-content/uploads/2014/06/FurryFreakBrothers-300x275.jpg HTTP/1.1"" 304 - ""-"" ""Mozilla/4.0 (compatible;)""","2014-06-22T18:32:00.000-0700",,,,,,"-",,"198.103.167.20",,18,22,32,june,0,sunday,2014,"-420",,,,,"FurryFreakBrothers-300x275.jpg",,Network3HP,,,"-",main,,,,"45.41670",1,"-75.70000",,,GET,,,,,,,,"..._-_-_[//:::_-]_""_//-////-._/.""__-_""-""_""/._(;)""","-",,"22/Jun/2014:18:32:00 -0700",,,blog,,,"access_log_all","access_combined",,RazLT,,"198.103.167.20",304,,,,,46,20,,,,"/blog/wp-content/uploads/2014/06/FurryFreakBrothers-300x275.jpg",,"/blog/wp-content/uploads/2014/06/FurryFreakBrothers-300x275.jpg",,"-","Mozilla/4.0 (compatible;)","HTTP/1.1"
Ottawa,Canada,Ontario,"198.103.167.20 - - [22/Jun/2014:17:31:41 -0700] ""GET /blog/wp-content/uploads/2014/06/HaroldHedd-201x300.jpg HTTP/1.1"" 304 - ""-"" ""Mozilla/4.0 (compatible;)""","2014-06-22T17:31:41.000-0700",,,,,,"-",,"198.103.167.20",,17,22,31,june,41,sunday,2014,"-420",,,,,"HaroldHedd-201x300.jpg",,Network3HP,,,"-",main,,,,"45.41670",1,"-75.70000",,,GET,,,,,,,,"..._-_-_[//:::_-]_""_//-////-._/.""__-_""-""_""/._(;)""","-",,"22/Jun/2014:17:31:41 -0700",,,blog,,,"access_log_all","access_combined",,RazLT,,"198.103.167.20",304,,,,,46,20,,,,"/blog/wp-content/uploads/2014/06/HaroldHedd-201x300.jpg",,"/blog/wp-content/uploads/2014/06/HaroldHedd-201x300.jpg",,"-","Mozilla/4.0 (compatible;)","HTTP/1.1"
Ottawa,Canada,Ontario,"198.103.167.20 - - [22/Jun/2014:14:39:20 -0700] ""GET /blog/wp-content/uploads/2014/06/cropped-HippieChurch01.jpg HTTP/1.1"" 304 - ""-"" ""Mozilla/4.0 (compatible;)""","2014-06-22T14:39:20.000-0700",,,,,,"-",,"198.103.167.20",,14,22,39,june,20,sunday,2014,"-420",,,,,"cropped-HippieChurch01.jpg",,Network3HP,,,"-",main,,,,"45.41670",1,"-75.70000",,,GET,,,,,,,,"..._-_-_[//:::_-]_""_//-////-._/.""__-_""-""_""/._(;)""","-",,"22/Jun/2014:14:39:20 -0700",,,blog,,,"access_log_all","access_combined",,RazLT,,"198.103.167.20",304,,,,,46,20,,,,"/blog/wp-content/uploads/2014/06/cropped-HippieChurch01.jpg",,"/blog/wp-content/uploads/2014/06/cropped-HippieChurch01.jpg",,"-","Mozilla/4.0 (compatible;)","HTTP/1.1"
