City,Country,GID,Mfr,Product,Region,SerialNumber,UID,"_raw","_time",accnt,acct,action,addr,app,auid,bytes,category,cipher,classification,clientip,comm,cookie,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone","dest_ip","dest_port",direction,euid,eventtype,exe,file,format,fp,"generator_id",home,host,hostname,id,idProduct,idVendor,ident,index,jscallback,kind,ksize,laddr,lat,linecount,lon,lport,mac,method,msg,name,op,other,p,"page_id",pid,priority,process,proto,protocol,punct,referer,"referer_domain","req_time",res,rhost,root,rport,ses,severity,shell,signature,"signature_rev",software,source,sourcetype,spid,"splunk_server","splunk_server_group","src_ip","src_port",srcaddr,status,suid,surveyid,swVersion,tag,"tag::eventtype",terminal,timeendpos,timestartpos,tty,type,uid,uri,"uri_domain","uri_path","uri_query",user,useragent,ver,version,x,x00type,"x_info","x_pid"
,,,,,,,,"06/12-16:31:09.354311  [**] [1:30280:2] SERVER-WEBAPP FreePBX config.php remote code execution attempt [**] [Classification: Attempted Administrator Privilege Gain] [Priority: 1] {TCP} 184.172.140.59:52564 -> 192.168.10.19:80","2014-06-12T16:31:09.354-0700",,,,,,,,"Attempted Administrator Privilege Gain",,"Attempted Administrator Privilege Gain",,,,16,12,31,june,9,thursday,2014,local,"192.168.10.19",80,,,"snort-alert snort_privilege_gain",,,,,1,,Network3HP,,,,,,main,,,,,,1,,,,,,"SERVER-WEBAPP FreePBX config.php remote code execution attempt",,,,,,1,,TCP,,"/-::.__[**]_[::]_-__._____[**]_[:____]_[:_]_{}_...",,,,,,,,,1,,30280,2,,alert,snort,,RazLT,,"184.172.140.59",52564,"",,,,,,,,23,0,,,,,,,,,,,,,,,
Houston,"United States",,,,Texas,,,"184.172.140.59 - - [12/Jun/2014:12:25:38 -0400] ""GET /admin/config.php?display=A&handler=api&file=A&module=A&function=system&args=uname HTTP/1.1"" 404 214 ""-"" ""-""","2014-06-12T09:25:38.000-0700",,,,,,,214,,,,"184.172.140.59",,,12,12,25,june,38,thursday,2014,"-240",,,,,,,"config.php",,,,,Network3HP,,,,,"-",main,,,,,"29.75230",1,"-95.36700",,,GET,,,,,,,,,,,,"..._-_-_[//:::_-]_""_//.?=&=&=&=&=&=_/.""___""-""_""-""","-",,"12/Jun/2014:12:25:38 -0400",,,admin,,,,,,,,"access_log_all","access_combined",,RazLT,,,,"184.172.140.59",404,,,,,,,46,20,,,,"/admin/config.php?display=A&handler=api&file=A&module=A&function=system&args=uname",,"/admin/config.php","display=A&handler=api&file=A&module=A&function=system&args=uname","-","-",,"HTTP/1.1",,,,
,,,,,,,,"06/12-07:52:27.848520  [**] [1:30280:2] SERVER-WEBAPP FreePBX config.php remote code execution attempt [**] [Classification: Attempted Administrator Privilege Gain] [Priority: 1] {TCP} 184.172.140.59:30834 -> 192.168.10.19:80","2014-06-12T07:52:27.848-0700",,,,,,,,"Attempted Administrator Privilege Gain",,"Attempted Administrator Privilege Gain",,,,7,12,52,june,27,thursday,2014,local,"192.168.10.19",80,,,"snort-alert snort_privilege_gain",,,,,1,,Network3HP,,,,,,main,,,,,,1,,,,,,"SERVER-WEBAPP FreePBX config.php remote code execution attempt",,,,,,1,,TCP,,"/-::.__[**]_[::]_-__._____[**]_[:____]_[:_]_{}_...",,,,,,,,,1,,30280,2,,alert,snort,,RazLT,,"184.172.140.59",30834,"",,,,,,,,23,0,,,,,,,,,,,,,,,
Houston,"United States",,,,Texas,,,"184.172.140.59 - - [12/Jun/2014:03:46:57 -0400] ""GET /admin/config.php?display=A&handler=api&file=A&module=A&function=system&args=uname HTTP/1.1"" 404 214 ""-"" ""-""","2014-06-12T00:46:57.000-0700",,,,,,,214,,,,"184.172.140.59",,,3,12,46,june,57,thursday,2014,"-240",,,,,,,"config.php",,,,,Network3HP,,,,,"-",main,,,,,"29.75230",1,"-95.36700",,,GET,,,,,,,,,,,,"..._-_-_[//:::_-]_""_//.?=&=&=&=&=&=_/.""___""-""_""-""","-",,"12/Jun/2014:03:46:57 -0400",,,admin,,,,,,,,"access_log_all","access_combined",,RazLT,,,,"184.172.140.59",404,,,,,,,46,20,,,,"/admin/config.php?display=A&handler=api&file=A&module=A&function=system&args=uname",,"/admin/config.php","display=A&handler=api&file=A&module=A&function=system&args=uname","-","-",,"HTTP/1.1",,,,
