City,Country,GID,Mfr,Product,Region,SerialNumber,UID,"_raw","_time",accnt,acct,action,addr,app,auid,bytes,category,cipher,classification,clientip,comm,cookie,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",dbname,"dest_ip","dest_port",direction,euid,eventtype,exe,file,format,fp,"generator_id",home,host,hostname,id,idProduct,idVendor,ident,index,jscallback,kind,ksize,laddr,lat,linecount,lon,lport,mac,method,msg,name,op,other,p,"page_id",pid,priority,process,proto,protocol,punct,referer,"referer_domain","req_time",res,rhost,root,rport,ses,severity,shell,signature,"signature_rev",software,source,sourcetype,spid,"splunk_server","splunk_server_group","src_ip","src_port",srcaddr,status,suid,surveyid,swVersion,tag,"tag::eventtype",terminal,timeendpos,timestartpos,tty,type,uid,uri,"uri_domain","uri_path","uri_query",user,useragent,ver,version,x,x00type,"x_info","x_pid"
"",Netherlands,,,,"",,,"94.102.49.31 - - [22/Jun/2014:19:51:21 -0700] ""GET /w00tw00t.at.blackhats.romanian.anti-sec:) HTTP/1.1"" 404 239 ""-"" ""ZmEu""","2014-06-22T19:51:21.000-0700",,,,,,,239,,,,"94.102.49.31",,,19,22,51,june,21,sunday,2014,"-420",,,,,,,,"w00tw00t.at.blackhats.romanian.anti-sec:)",,,,,Network3HP,,,,,"-",main,,,,,"52.50000",1,"5.75000",,,GET,,,,,,,,,,,,"..._-_-_[//:::_-]_""_/....-:)_/.""___""-""_""""","-",,"22/Jun/2014:19:51:21 -0700",,,,,,,,,,,"access_log_all","access_combined",,RazLT,,,,"94.102.49.31",404,,,,,,,44,18,,,,"/w00tw00t.at.blackhats.romanian.anti-sec:)",,"/w00tw00t.at.blackhats.romanian.anti-sec:)",,"-",ZmEu,,"HTTP/1.1",,,,
"",Netherlands,,,,"",,,"94.102.49.31 - - [22/Jun/2014:19:51:18 -0700] ""GET /scripts/setup.php HTTP/1.1"" 404 215 ""-"" ""ZmEu""","2014-06-22T19:51:18.000-0700",,,,,,,215,,,,"94.102.49.31",,,19,22,51,june,18,sunday,2014,"-420",,,,,,,,"setup.php",,,,,Network3HP,,,,,"-",main,,,,,"52.50000",1,"5.75000",,,GET,,,,,,,,,,,,"..._-_-_[//:::_-]_""_//._/.""___""-""_""""","-",,"22/Jun/2014:19:51:18 -0700",,,scripts,,,,,,,,"access_log_all","access_combined",,RazLT,,,,"94.102.49.31",404,,,,,,,44,18,,,,"/scripts/setup.php",,"/scripts/setup.php",,"-",ZmEu,,"HTTP/1.1",,,,
"",Netherlands,,,,"",,,"94.102.49.31 - - [22/Jun/2014:19:51:18 -0700] ""GET /mysqladmin/scripts/setup.php HTTP/1.1"" 404 226 ""-"" ""ZmEu""","2014-06-22T19:51:18.000-0700",,,,,,,226,,,,"94.102.49.31",,,19,22,51,june,18,sunday,2014,"-420",,,,,,,,"setup.php",,,,,Network3HP,,,,,"-",main,,,,,"52.50000",1,"5.75000",,,GET,,,,,,,,,,,,"..._-_-_[//:::_-]_""_///._/.""___""-""_""""","-",,"22/Jun/2014:19:51:18 -0700",,,mysqladmin,,,,,,,,"access_log_all","access_combined",,RazLT,,,,"94.102.49.31",404,,,,,,,44,18,,,,"/mysqladmin/scripts/setup.php",,"/mysqladmin/scripts/setup.php",,"-",ZmEu,,"HTTP/1.1",,,,
"",Netherlands,,,,"",,,"94.102.49.31 - - [22/Jun/2014:19:51:18 -0700] ""GET /MyAdmin/scripts/setup.php HTTP/1.1"" 404 223 ""-"" ""ZmEu""","2014-06-22T19:51:18.000-0700",,,,,,,223,,,,"94.102.49.31",,,19,22,51,june,18,sunday,2014,"-420",,,,,,,,"setup.php",,,,,Network3HP,,,,,"-",main,,,,,"52.50000",1,"5.75000",,,GET,,,,,,,,,,,,"..._-_-_[//:::_-]_""_///._/.""___""-""_""""","-",,"22/Jun/2014:19:51:18 -0700",,,MyAdmin,,,,,,,,"access_log_all","access_combined",,RazLT,,,,"94.102.49.31",404,,,,,,,44,18,,,,"/MyAdmin/scripts/setup.php",,"/MyAdmin/scripts/setup.php",,"-",ZmEu,,"HTTP/1.1",,,,
"",Netherlands,,,,"",,,"94.102.49.31 - - [22/Jun/2014:19:51:17 -0700] ""GET /myadmin/scripts/setup.php HTTP/1.1"" 404 223 ""-"" ""ZmEu""","2014-06-22T19:51:17.000-0700",,,,,,,223,,,,"94.102.49.31",,,19,22,51,june,17,sunday,2014,"-420",,,,,,,,"setup.php",,,,,Network3HP,,,,,"-",main,,,,,"52.50000",1,"5.75000",,,GET,,,,,,,,,,,,"..._-_-_[//:::_-]_""_///._/.""___""-""_""""","-",,"22/Jun/2014:19:51:17 -0700",,,myadmin,,,,,,,,"access_log_all","access_combined",,RazLT,,,,"94.102.49.31",404,,,,,,,44,18,,,,"/myadmin/scripts/setup.php",,"/myadmin/scripts/setup.php",,"-",ZmEu,,"HTTP/1.1",,,,
"",Netherlands,,,,"",,,"94.102.49.31 - - [22/Jun/2014:19:51:17 -0700] ""GET /pma/scripts/setup.php HTTP/1.1"" 404 219 ""-"" ""ZmEu""","2014-06-22T19:51:17.000-0700",,,,,,,219,,,,"94.102.49.31",,,19,22,51,june,17,sunday,2014,"-420",,,,,,,,"setup.php",,,,,Network3HP,,,,,"-",main,,,,,"52.50000",1,"5.75000",,,GET,,,,,,,,,,,,"..._-_-_[//:::_-]_""_///._/.""___""-""_""""","-",,"22/Jun/2014:19:51:17 -0700",,,pma,,,,,,,,"access_log_all","access_combined",,RazLT,,,,"94.102.49.31",404,,,,,,,44,18,,,,"/pma/scripts/setup.php",,"/pma/scripts/setup.php",,"-",ZmEu,,"HTTP/1.1",,,,
"",Netherlands,,,,"",,,"94.102.49.31 - - [22/Jun/2014:19:51:17 -0700] ""GET /phpmyadmin/scripts/setup.php HTTP/1.1"" 404 226 ""-"" ""ZmEu""","2014-06-22T19:51:17.000-0700",,,,,,,226,,,,"94.102.49.31",,,19,22,51,june,17,sunday,2014,"-420",,,,,,,,"setup.php",,,,,Network3HP,,,,,"-",main,,,,,"52.50000",1,"5.75000",,,GET,,,,,,,,,,,,"..._-_-_[//:::_-]_""_///._/.""___""-""_""""","-",,"22/Jun/2014:19:51:17 -0700",,,phpmyadmin,,,,,,,,"access_log_all","access_combined",,RazLT,,,,"94.102.49.31",404,,,,,,,44,18,,,,"/phpmyadmin/scripts/setup.php",,"/phpmyadmin/scripts/setup.php",,"-",ZmEu,,"HTTP/1.1",,,,
"",Netherlands,,,,"",,,"94.102.49.31 - - [22/Jun/2014:19:51:16 -0700] ""GET /scripts/setup.php HTTP/1.1"" 404 215 ""-"" ""ZmEu""","2014-06-22T19:51:16.000-0700",,,,,,,215,,,,"94.102.49.31",,,19,22,51,june,16,sunday,2014,"-420",,,,,,,,"setup.php",,,,,Network3HP,,,,,"-",main,,,,,"52.50000",1,"5.75000",,,GET,,,,,,,,,,,,"..._-_-_[//:::_-]_""_//._/.""___""-""_""""","-",,"22/Jun/2014:19:51:16 -0700",,,scripts,,,,,,,,"access_log_all","access_combined",,RazLT,,,,"94.102.49.31",404,,,,,,,44,18,,,,"/scripts/setup.php",,"/scripts/setup.php",,"-",ZmEu,,"HTTP/1.1",,,,
"",Netherlands,,,,"",,,"94.102.49.31 - - [22/Jun/2014:19:51:16 -0700] ""GET /phpMyAdmin/scripts/setup.php HTTP/1.1"" 404 226 ""-"" ""ZmEu""","2014-06-22T19:51:16.000-0700",,,,,,,226,,,,"94.102.49.31",,,19,22,51,june,16,sunday,2014,"-420",,,,,,,,"setup.php",,,,,Network3HP,,,,,"-",main,,,,,"52.50000",1,"5.75000",,,GET,,,,,,,,,,,,"..._-_-_[//:::_-]_""_///._/.""___""-""_""""","-",,"22/Jun/2014:19:51:16 -0700",,,phpMyAdmin,,,,,,,,"access_log_all","access_combined",,RazLT,,,,"94.102.49.31",404,,,,,,,44,18,,,,"/phpMyAdmin/scripts/setup.php",,"/phpMyAdmin/scripts/setup.php",,"-",ZmEu,,"HTTP/1.1",,,,
"",Netherlands,,,,"",,,"94.102.49.31 - - [22/Jun/2014:19:51:16 -0700] ""GET /mysqladmin/scripts/setup.php HTTP/1.1"" 404 226 ""-"" ""ZmEu""","2014-06-22T19:51:16.000-0700",,,,,,,226,,,,"94.102.49.31",,,19,22,51,june,16,sunday,2014,"-420",,,,,,,,"setup.php",,,,,Network3HP,,,,,"-",main,,,,,"52.50000",1,"5.75000",,,GET,,,,,,,,,,,,"..._-_-_[//:::_-]_""_///._/.""___""-""_""""","-",,"22/Jun/2014:19:51:16 -0700",,,mysqladmin,,,,,,,,"access_log_all","access_combined",,RazLT,,,,"94.102.49.31",404,,,,,,,44,18,,,,"/mysqladmin/scripts/setup.php",,"/mysqladmin/scripts/setup.php",,"-",ZmEu,,"HTTP/1.1",,,,
